@relation 'Public_School_Characteristics_2018-19_?Miss-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C70-L70-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C52-L52-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C21-L21-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C22-L22-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C23-L23-weka.filters.unsupervised.attribute.StringToNominal-R19-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R70-weka.filters.unsupervised.attribute.Remove-R70-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-A22-35-R0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C36-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C37-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C38-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C39-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C40-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C41-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C42-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C43-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C48-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C51-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C52-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C53-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C54-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C55-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C56-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C57-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C58-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C59-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C60-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C61-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C62-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C63-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C64-Lfirst-last-M-weka.filters.unsupervised.attribute.NumericToNominal-R46-weka.filters.unsupervised.attribute.MergeManyValues-C46-LCity-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LSuburb-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LTown-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LRural-R1,2,3-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N35-F1-weka.filters.unsupervised.attribute.Remove-R3,5,8-13,15,47-weka.filters.unsupervised.attribute.Remove-V-R30,48,61,43,47,44,6,46,29,45,27,56,4,55,10,37-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N3-F1'

@attribute BL numeric
@attribute BLALF numeric
@attribute AS numeric
@attribute ASALM numeric
@attribute BLALM numeric
@attribute ASALF numeric
@attribute LZIP numeric
@attribute HIALF numeric
@attribute HI numeric
@attribute HIALM numeric
@attribute MEMBER numeric
@attribute TOTFENROL numeric
@attribute STABR {AK,AL,AR,AS,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY,BI,GU}
@attribute TOTMENROL numeric
@attribute TOTFRL numeric
@attribute ULOCALE {City,Suburb,Town,Rural}

@data
28,7,11,4,21,7,43235,30,64,34,336,156,OH,180,124,Suburb
8,4,14,8,4,6,33193,206,434,228,475,227,FL,248,402,Suburb
168,79,17,9,89,8,45315,15,21,6,776,363,OH,413,282,Suburb
10,2,0,0,8,0,32839,0,2,2,13,2,FL,11,5,Suburb
33,15,4,2,18,2,43935,5,7,2,416,205,OH,211,413,Suburb
150,64,10,5,86,5,32809,317,641,324,827,396,FL,431,567,Suburb
8,2,9,4,6,5,97478,77,178,101,1310,624,OR,686,556,Suburb
15,5,6,3,10,3,97222,32,70,38,308,141,OR,167,192,Suburb
7,3,1,1,4,0,97116,133,258,125,496,246,OR,250,336,Suburb
42,20,7,5,22,2,32404,16,29,13,678,355,FL,323,410,Suburb
28,8,4,2,20,2,18014,45,83,38,516,261,PA,255,223,Suburb
80,40,5,3,40,2,33455,77,180,103,626,310,FL,316,376,Suburb
89,43,13,5,46,8,33952,70,146,76,615,280,FL,335,436,Suburb
140,59,39,14,81,25,34202,175,348,173,1075,527,FL,548,554,Suburb
2,1,15,7,1,8,18901,10,22,12,412,198,PA,214,51,Suburb
23,14,272,152,9,120,19312,13,23,10,1134,565,PA,569,77,Suburb
24,18,72,36,6,36,19086,10,30,20,499,222,PA,277,117,Suburb
89,42,13,5,47,8,19464,31,70,39,753,357,PA,396,317,Suburb
14,4,68,30,10,38,15238,19,38,19,677,334,PA,343,101,Suburb
36,18,0,0,18,0,15122,1,2,1,175,83,PA,92,175,Suburb
205,107,3,0,98,3,15301,21,38,17,842,414,PA,428,839,Suburb
57,28,10,7,29,3,19607,78,159,81,708,353,PA,355,331,Suburb
176,84,49,22,92,27,33563,61,116,55,488,248,FL,240,297,Suburb
7,2,7,5,5,2,17331,17,36,19,538,261,PA,277,242,Suburb
37,21,31,14,16,17,2842,35,78,43,668,329,RI,339,211,Suburb
98,51,12,9,47,3,33578,80,173,93,541,255,FL,286,318,Suburb
316,158,5,1,158,4,29461,26,47,21,743,359,SC,384,546,Suburb
26,13,34,16,13,18,29036,19,33,14,918,464,SC,454,90,Suburb
101,41,51,27,60,24,33777,73,178,105,1207,548,FL,659,663,Suburb
41,12,0,0,29,0,35476,2,10,8,138,40,AL,98,30,Suburb
220,106,27,12,114,15,30180,24,46,22,495,234,GA,261,222,Suburb
429,222,18,12,207,6,30248,39,81,42,665,327,GA,338,353,Suburb
637,323,22,14,314,8,30238,78,159,81,853,424,GA,429,792,Suburb
212,96,14,8,116,6,30263,68,143,75,515,240,GA,275,412,Suburb
731,365,1,0,366,1,30034,12,17,5,755,382,GA,373,497,Suburb
70,32,31,14,38,17,30518,92,217,125,747,363,GA,384,242,Suburb
13,6,58,29,7,29,78734,145,301,156,1135,543,TX,592,204,Suburb
128,59,111,60,69,51,77627,168,369,201,1521,743,TX,778,575,Suburb
313,145,4,2,168,2,30223,34,75,41,580,270,GA,310,506,Suburb
16,9,24,9,7,15,76226,25,54,29,385,205,TX,180,19,Suburb
77,34,10,4,43,6,75407,164,344,180,701,332,TX,369,438,Suburb
69,30,26,14,39,12,75040,167,357,190,553,266,TX,287,431,Suburb
50,24,45,20,26,25,75044,30,82,52,345,165,TX,180,133,Suburb
17,10,10,4,7,6,30736,12,31,19,780,371,GA,409,379,Suburb
97,52,11,6,45,5,76036,121,247,126,514,251,TX,263,312,Suburb
21,10,3,1,11,2,79928,435,920,485,1007,476,TX,531,687,Suburb
284,155,75,35,129,40,77065,200,421,221,969,491,TX,478,745,Suburb
88,45,51,33,43,18,77581,243,509,266,816,384,TX,432,444,Suburb
246,117,15,6,129,9,77471,617,1227,610,1669,829,TX,840,1240,Suburb
203,87,60,34,116,26,77095,218,441,223,865,400,TX,465,631,Suburb
80,38,28,15,42,13,77086,242,484,242,634,319,TX,315,545,Suburb
22,12,12,5,10,7,30506,217,470,253,959,463,GA,496,545,Suburb
684,365,3,2,319,1,31404,13,28,15,773,408,GA,365,566,Suburb
2,1,1,1,1,0,78589,1087,2224,1137,2239,1094,TX,1145,2104,Suburb
102,52,3,2,50,1,78244,200,410,210,607,299,TX,308,504,Suburb
34,19,21,12,15,9,85381,135,278,143,816,387,AZ,429,269,Suburb
2,0,6,1,2,5,84014,14,30,16,480,223,UT,257,85,Suburb
6,2,1,1,4,0,84003,42,81,39,510,238,UT,272,78,Suburb
39,18,65,29,21,36,84124,64,142,78,1583,801,UT,782,325,Suburb
0,0,1,1,0,0,83616,12,28,16,408,243,ID,165,69,Suburb
14,3,11,1,11,10,22812,72,153,81,1001,501,VA,500,304,Suburb
244,118,99,54,126,45,23233,111,213,102,1125,549,VA,576,584,Suburb
130,72,37,14,58,23,23135,79,145,66,1308,635,VA,673,245,Suburb
77,30,7,2,47,5,60085,170,331,161,472,236,IL,236,245,Suburb
50,19,18,8,31,10,22303,131,264,133,382,186,VA,196,282,Suburb
58,25,51,26,33,25,20176,55,128,73,583,268,VA,315,128,Suburb
351,202,211,95,149,116,46545,138,252,114,3751,1903,IN,1848,762,Suburb
6,3,8,6,3,2,98502,25,47,22,368,163,WA,205,197,Suburb
120,59,122,58,61,64,98168,76,141,65,538,282,WA,256,344,Suburb
5,2,18,12,3,6,98372,34,79,45,315,148,WA,167,177,Suburb
3,1,2,2,2,0,41102,7,9,2,681,348,KY,333,388,Suburb
125,9,0,0,116,0,48203,0,3,3,173,11,MI,162,170,Suburb
768,396,105,56,372,49,21108,136,284,148,2204,1078,MD,1126,742,Suburb
627,320,37,20,307,17,20706,243,515,272,1227,604,MD,623,931,Suburb
4,0,3,1,4,2,83854,14,27,13,453,222,ID,231,203,Suburb
129,66,37,15,63,22,77385,204,425,221,1152,559,TX,593,482,Suburb
114,64,926,460,50,466,30024,89,156,67,2988,1530,GA,1458,99,Suburb
7,2,2,1,5,1,15683,1,2,1,455,241,PA,214,233,Suburb
51,13,1,1,38,0,90242,18,84,66,143,32,CA,111,140,Suburb
50,16,1,1,34,0,48240,3,6,3,133,35,MI,98,85,Suburb
317,145,209,109,172,100,23060,60,102,42,1850,928,VA,922,370,Suburb
29,15,0,0,14,0,48225,0,0,0,30,15,MI,15,25,Suburb
5,2,3,3,3,0,84045,25,55,30,711,319,UT,392,92,Suburb
21,10,1,0,11,1,12553,7,19,12,71,31,NY,40,27,Suburb
91,46,2,0,45,2,11550,157,338,181,440,209,NY,231,140,Suburb
86,41,0,0,45,0,48066,3,8,5,107,46,MI,61,90,Suburb
60,24,13,5,36,8,48035,7,18,11,539,259,MI,280,227,Suburb
14,9,12,9,5,3,48094,37,71,34,648,319,MI,329,159,Suburb
28,7,1,0,21,1,29615,2,6,4,393,164,SC,229,114,Suburb
31,9,30,13,22,17,48302,5,10,5,429,221,MI,208,28,Suburb
288,151,3,1,137,2,19050,5,8,3,319,169,PA,150,195,Suburb
11,6,114,58,5,56,75022,34,63,29,574,285,TX,289,34,Suburb
314,146,136,80,168,56,30096,87,189,102,859,402,GA,457,361,Suburb
173,71,53,27,102,26,48323,3,7,4,484,212,MI,272,159,Suburb
150,55,0,0,95,0,33147,11,17,6,167,66,FL,101,88,Suburb
64,25,0,0,39,0,15644,2,9,7,452,216,PA,236,406,Suburb
8,6,22,8,2,14,48138,11,30,19,588,291,MI,297,63,Suburb
164,83,6,5,81,1,48146,251,551,300,1273,594,MI,679,800,Suburb
72,35,90,45,37,45,48170,26,53,27,923,456,MI,467,128,Suburb
101,41,0,0,60,0,10456,61,136,75,246,107,NY,139,229,City
136,66,11,4,70,7,33616,57,117,60,429,216,FL,213,342,City
484,230,8,6,254,2,10466,63,130,67,644,305,NY,339,424,City
130,61,7,5,69,2,11205,57,114,57,262,124,NY,138,232,City
177,93,1,1,84,0,11221,24,48,24,236,124,NY,112,203,City
393,198,11,2,195,9,35405,6,14,8,517,256,AL,261,321,City
165,52,28,16,113,12,11235,23,77,54,334,110,NY,224,307,City
234,60,19,15,174,4,11235,21,101,80,415,98,NY,317,364,City
103,57,21,11,46,10,10021,129,249,120,422,217,NY,205,305,City
26,15,319,122,11,197,10004,49,76,27,683,423,NY,260,337,City
116,55,9,4,61,5,10035,133,321,188,476,205,NY,271,379,City
5,3,4,3,2,1,72756,146,301,155,616,287,AR,329,431,City
13,6,40,17,7,23,11101,224,414,190,509,272,NY,237,353,City
93,55,22,13,38,9,57105,45,80,35,1128,563,SD,565,313,City
24,6,0,0,18,0,77072,8,29,21,58,14,TX,44,46,City
1,1,2,1,0,1,86404,51,96,45,420,212,AZ,208,226,City
13,6,68,33,7,35,10306,56,113,57,362,184,NY,178,250,City
14,8,215,108,6,107,28217,6,11,5,376,187,NC,189,3,City
170,77,207,112,93,95,28270,87,152,65,1952,991,NC,961,166,City
131,58,411,215,73,196,30005,63,117,54,1186,584,GA,602,110,City
31,12,7,1,19,6,78702,103,192,89,298,153,TX,145,171,City
67,35,13,7,32,6,78722,68,127,59,481,242,TX,239,163,City
6,3,21,12,3,9,94080,169,347,178,404,197,CA,207,302,City
76,33,8,6,43,2,77701,191,379,188,477,230,TX,247,464,City
1,0,3,1,1,2,78520,267,559,292,569,272,TX,297,543,City
167,81,22,14,86,8,27407,79,167,88,429,199,NC,230,422,City
21,13,26,10,8,16,85282,74,138,64,445,235,AZ,210,88,City
34,18,104,59,16,45,11372,190,358,168,558,289,NY,269,373,City
9,4,0,0,5,0,76164,164,351,187,374,174,TX,200,336,City
52,26,156,92,26,64,75023,43,86,43,562,259,TX,303,95,City
17,6,0,0,11,0,75220,297,619,322,644,306,TX,338,637,City
44,26,5,2,18,3,75208,1003,1947,944,2026,1048,TX,978,1594,City
359,187,19,13,172,6,28540,69,160,91,1206,606,NC,600,552,City
119,61,82,43,58,39,75081,39,92,53,427,202,TX,225,269,City
64,31,33,16,33,17,85019,347,714,367,897,439,AZ,458,788,City
956,454,94,48,502,46,76012,533,1119,586,2814,1343,TX,1471,1854,City
37,24,9,2,13,7,76164,579,1158,579,1230,621,TX,609,1127,City
53,29,7,6,24,1,94589,22,51,29,126,57,CA,69,80,City
221,105,29,19,116,10,27614,62,135,73,662,316,NC,346,309,City
8,4,8,4,4,4,79936,334,718,384,751,351,TX,400,585,City
29,15,81,40,14,41,93003,446,942,496,1849,892,CA,957,945,City
48,24,12,7,24,5,64119,22,53,31,367,175,MO,192,223,City
602,288,2,0,314,2,77053,304,644,340,1267,606,TX,661,1042,City
47,14,1,0,33,1,77037,320,647,327,703,336,TX,367,615,City
147,73,6,1,74,5,77520,322,662,340,951,468,TX,483,776,City
74,37,9,7,37,2,77009,343,704,361,984,482,TX,502,502,City
6,0,0,0,6,0,77011,164,334,170,342,165,TX,177,325,City
34,17,4,2,17,2,77587,297,606,309,663,328,TX,335,623,City
43,15,75,39,28,36,77381,51,118,67,714,338,TX,376,83,City
328,158,63,35,170,28,80012,400,869,469,1550,718,CO,832,888,City
2,2,0,0,0,0,78046,239,553,314,558,241,TX,317,452,City
17,11,0,0,6,0,79412,82,166,84,216,109,TX,107,199,City
1,0,0,0,1,0,78539,195,417,222,418,195,TX,223,378,City
293,134,1,1,159,0,27105,56,116,60,510,245,NC,265,507,City
699,361,25,14,338,11,31602,43,90,47,1138,577,GA,561,1138,City
301,145,0,0,156,0,39213,0,0,0,304,145,MS,159,304,City
236,124,118,53,112,65,80210,263,524,261,1577,789,CO,788,827,City
35,18,2,2,17,0,78228,235,485,250,566,277,TX,289,437,City
6,3,0,0,3,0,78201,293,595,302,612,298,TX,314,519,City
95,46,26,11,49,15,52402,33,74,41,802,377,IA,425,390,City
47,27,0,0,20,0,77901,119,276,157,366,165,TX,201,294,City
10,6,2,2,4,0,76301,13,21,8,51,28,TX,23,48,City
75,31,6,3,44,3,34286,67,145,78,856,380,FL,476,571,City
2,0,1,0,2,1,84601,93,173,80,520,268,UT,252,324,City
225,121,48,27,104,21,49512,55,108,53,774,394,MI,380,397,City
60,28,12,7,32,5,33909,185,404,219,984,445,FL,539,435,City
58,27,6,3,31,3,32118,28,51,23,433,197,FL,236,317,City
279,120,3,1,159,2,24503,10,32,22,571,248,VA,323,502,City
103,52,5,3,51,2,85029,534,1116,582,1376,655,AZ,721,1238,City
357,230,480,239,127,241,60618,1011,1823,812,4517,2422,IL,2095,1970,City
6,3,1,1,3,0,68022,5,7,2,408,209,NE,199,20,City
197,87,14,11,110,3,23505,32,62,30,360,161,VA,199,245,City
38,23,33,16,15,17,23456,23,43,20,447,229,VA,218,63,City
293,147,99,55,146,44,68132,79,159,80,897,451,NE,446,622,City
36,14,33,22,22,11,92628,454,1210,756,1566,591,CA,975,1328,City
389,187,32,17,202,15,92395,534,1189,655,1829,832,CA,997,1669,City
14,4,25,14,10,11,98682,65,152,87,684,313,WA,371,376,City
226,110,186,95,116,91,98126,136,299,163,1060,505,WA,555,664,City
42,10,0,0,32,0,7103,6,18,12,62,16,NJ,46,56,City
2,1,8,5,1,3,97321,4,17,13,351,153,OR,198,114,City
45,22,6,4,23,2,67212,80,168,88,559,260,KS,299,446,City
21,13,27,11,8,16,97701,137,270,133,1743,919,OR,824,627,City
13,6,13,7,7,6,97401,30,83,53,558,256,OR,302,300,City
92,58,1,0,34,1,10001,93,169,76,270,156,NY,114,202,City
1,1,8,4,0,4,97526,39,72,33,434,199,OR,235,322,City
222,124,409,195,98,214,95818,517,1022,505,2375,1244,CA,1131,1394,City
37,16,928,456,21,472,92127,120,218,98,2351,1199,CA,1152,279,City
156,111,19,4,45,15,10003,169,233,64,467,334,NY,133,370,City
121,57,76,40,64,36,95822,99,195,96,480,230,CA,250,377,City
72,36,13,7,36,6,97218,95,189,94,458,236,OR,222,379,City
54,26,7,4,28,3,85730,130,244,114,447,226,AZ,221,348,City
39,22,9,7,17,2,85710,103,220,117,468,225,AZ,243,317,City
117,63,28,16,54,12,11694,128,240,112,517,275,NY,242,360,City
40,20,17,7,20,10,57110,8,20,12,559,281,SD,278,116,City
8,3,5,2,5,3,84604,51,96,45,2222,1118,UT,1104,7,City
664,341,135,69,323,66,31407,74,181,107,1720,831,GA,889,621,City
45,16,4,2,29,2,10034,384,848,464,916,411,NY,505,796,City
89,43,21,12,46,9,32503,24,41,17,628,315,FL,313,187,City
22,11,28,13,11,15,95207,92,140,48,216,130,CA,86,118,City
459,209,68,33,250,35,89107,938,2029,1091,2828,1313,NV,1515,2094,City
227,173,12,4,54,8,11213,31,47,16,301,219,NY,82,252,City
17,12,92,46,5,46,89511,87,185,98,868,409,NV,459,225,City
666,315,0,0,351,0,35222,53,99,46,786,378,AL,408,740,City
365,175,0,0,190,0,48221,0,0,0,366,175,MI,191,361,City
825,443,11,3,382,8,10026,128,266,138,1225,642,NY,583,893,City
403,207,210,101,196,109,36830,30,67,37,1875,934,AL,941,367,City
123,71,10,3,52,7,10473,68,125,57,263,149,NY,114,192,City
9,3,15,11,6,4,78212,123,221,98,446,222,TX,224,77,City
3,1,4,2,2,2,48374,0,1,1,39,16,MI,23,12,City
452,208,21,13,244,8,17110,92,189,97,708,335,PA,373,708,City
50,29,11,7,21,4,34288,67,128,61,758,360,FL,398,404,City
120,50,3,2,70,1,12180,36,71,35,376,183,NY,193,318,City
589,308,29,13,281,16,27713,127,240,113,2449,1286,NC,1163,659,City
21,10,2,1,11,1,78753,34,83,49,118,53,TX,65,112,City
62,26,22,14,36,8,92124,91,174,83,726,349,CA,377,457,City
30,8,4,2,22,2,14901,10,23,13,362,176,NY,186,171,City
0,0,0,0,0,0,78745,5,12,7,23,11,TX,12,5,City
332,146,10,3,186,7,48342,95,188,93,606,287,MI,319,501,City
657,336,8,6,321,2,19103,8,10,2,702,362,PA,340,682,City
92,32,2,2,60,0,48204,7,17,10,127,47,MI,80,117,City
331,145,0,0,186,0,19150,3,10,7,356,156,PA,200,356,City
149,75,14,11,74,3,19146,3,13,10,272,121,PA,151,272,City
398,187,1,1,211,0,19143,4,6,2,418,197,PA,221,418,City
165,97,30,14,68,16,33881,65,135,70,601,328,FL,273,217,City
34,15,0,0,19,0,10128,19,52,33,91,37,NY,54,68,City
202,112,0,0,90,0,77047,1,4,3,209,115,TX,94,94,City
6,4,12,9,2,3,92391,181,332,151,451,249,CA,202,396,City
3,2,82,40,1,42,93010,59,119,60,577,293,CA,284,58,City
3,1,89,45,2,44,95035,6,9,3,113,57,CA,56,13,City
162,87,11,6,75,5,14211,19,44,25,250,130,NY,120,178,City
248,109,19,7,139,12,33711,17,41,24,576,227,FL,349,288,City
0,0,0,0,0,0,95437,0,4,4,10,3,CA,7,7,Town
3,1,2,1,2,1,68901,47,77,30,351,176,NE,175,261,Town
18,10,8,4,8,4,76084,164,366,202,656,299,TX,357,475,Town
8,2,0,0,6,0,24416,0,2,2,114,49,VA,65,89,Town
1,0,4,2,1,2,97470,20,38,18,357,173,OR,184,214,Town
2,1,0,0,1,0,97383,40,82,42,372,187,OR,185,255,Town
10,4,4,2,6,2,78028,74,142,68,250,130,TX,120,236,Town
15,8,3,0,7,3,10922,29,47,18,210,110,NY,100,78,Town
11,7,12,6,4,6,49080,27,47,20,830,396,MI,434,175,Town
4,2,2,2,2,0,15824,1,3,2,512,254,PA,258,244,Town
3,2,6,4,1,2,79745,148,291,143,373,189,TX,184,238,Town
3,2,5,1,1,4,79323,156,317,161,391,190,TX,201,205,Town
122,64,1,1,58,0,76661,34,81,47,224,107,TX,117,223,Town
13,7,2,0,6,2,48160,8,20,12,418,201,MI,217,177,Town
13,7,1,0,6,1,16686,1,9,8,538,262,PA,276,186,Town
7,5,6,4,2,2,49068,5,10,5,284,136,MI,148,103,Town
86,36,7,3,50,4,27028,58,112,54,564,267,NC,297,334,Town
84,41,10,3,43,7,27203,100,217,117,569,271,NC,298,381,Town
309,152,7,3,157,4,31757,24,61,37,842,413,GA,429,758,Town
8,5,11,7,3,4,45750,5,12,7,600,293,OH,307,295,Town
0,0,0,0,0,0,79853,126,246,120,248,128,TX,120,227,Town
1,1,1,0,0,1,68008,8,11,3,152,73,NE,79,44,Town
14,7,3,1,7,2,75442,92,182,90,530,263,TX,267,238,Town
238,110,1,1,128,0,35150,10,18,8,534,255,AL,279,294,Town
43,32,5,3,11,2,28352,6,11,5,192,121,NC,71,189,Town
15,9,31,16,6,15,28001,26,37,11,206,134,NC,72,82,Town
4,3,94,56,1,38,96731,34,77,43,1381,703,HI,678,621,Town
25,11,2,1,14,1,14103,20,35,15,452,232,NY,220,246,Town
41,17,1,1,24,0,16101,2,4,2,361,172,PA,189,207,Town
5,2,2,0,3,2,78061,286,567,281,599,300,TX,299,479,Town
311,157,0,0,154,0,28337,39,70,31,522,264,NC,258,516,Town
36,21,15,12,15,3,66043,25,56,31,644,312,KS,332,199,Town
2,2,5,1,0,4,97386,17,42,25,715,330,OR,385,380,Town
2,1,4,2,1,2,99801,5,12,7,201,107,AK,94,25,Town
1,0,7,4,1,3,59715,11,18,7,266,138,MT,128,106,Town
5,3,0,0,2,0,48442,9,21,12,328,152,MI,176,197,Town
3,2,8,6,1,2,76401,82,170,88,520,243,TX,277,247,Town
47,24,5,4,23,1,42141,26,59,33,474,228,KY,246,277,Town
0,0,3,0,0,3,97411,13,25,12,213,103,OR,110,119,Town
28,8,28,18,20,10,76384,68,161,93,341,142,TX,199,267,Town
3,1,1,0,2,1,49686,1,2,1,71,34,MI,37,14,Town
7,5,1,0,2,1,83330,12,27,15,77,42,ID,35,50,Town
32,18,0,0,14,0,76567,99,209,110,383,182,TX,201,316,Town
1,1,1,1,0,0,83221,18,42,24,270,127,ID,143,114,Town
0,0,2,0,0,2,84720,8,13,5,215,119,UT,96,48,Town
0,0,1,0,0,1,14172,9,15,6,462,226,NY,236,224,Town
4,3,4,4,1,0,14843,3,9,6,287,148,NY,139,169,Town
1,0,3,1,1,2,79070,178,333,155,475,253,TX,222,277,Town
2,0,0,0,2,0,66763,3,8,5,263,121,KS,142,117,Town
12,4,3,2,8,1,13820,15,26,11,260,123,NY,137,81,Town
6,1,0,0,5,0,34266,0,1,1,41,8,FL,33,31,Town
16,8,7,4,8,3,30701,99,213,114,867,403,GA,464,509,Town
6,5,3,0,1,3,84029,33,67,34,934,461,UT,473,218,Town
1,1,0,0,0,0,95322,5,20,15,26,9,CA,17,21,Town
5,2,8,4,3,4,17961,15,25,10,616,310,PA,306,191,Town
