@relation 'Public_School_Characteristics_2018-19_?Miss-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C70-L70-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C52-L52-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C21-L21-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C22-L22-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C23-L23-weka.filters.unsupervised.attribute.StringToNominal-R19-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R70-weka.filters.unsupervised.attribute.Remove-R70-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-A22-35-R0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C36-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C37-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C38-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C39-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C40-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C41-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C42-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C43-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C48-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C51-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C52-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C53-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C54-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C55-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C56-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C57-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C58-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C59-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C60-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C61-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C62-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C63-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C64-Lfirst-last-M-weka.filters.unsupervised.attribute.NumericToNominal-R46-weka.filters.unsupervised.attribute.MergeManyValues-C46-LCity-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LSuburb-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LTown-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LRural-R1,2,3-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N35-F1-weka.filters.unsupervised.attribute.Remove-R3,5,8-13,15,47-weka.filters.unsupervised.attribute.Remove-V-R30,61,48,4,47,43,44,6,46,29,45,10,17,36,1,37-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N3-F1'

@attribute BL numeric
@attribute AS numeric
@attribute BLALF numeric
@attribute STABR {AK,AL,AR,AS,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY,BI,GU}
@attribute BLALM numeric
@attribute ASALM numeric
@attribute ASALF numeric
@attribute LZIP numeric
@attribute HIALF numeric
@attribute HI numeric
@attribute HIALM numeric
@attribute TOTFRL numeric
@attribute G03 numeric
@attribute LONCOD numeric
@attribute ﻿X numeric
@attribute ULOCALE {City,Suburb,Town,Rural}

@data
128,0,60,NC,68,0,0,27823,0,3,3,134,25,-77.742767,-8654275.0809,Rural
36,3,16,NC,20,1,2,27973,12,22,10,171,95,-76.015101,-8461959.5177,Rural
0,0,0,ND,0,0,0,58572,0,0,0,11,0,-100.294011,-11164677.7162,Rural
4,1,3,NE,1,0,1,69156,2,4,2,48,0,-103.307049,-11500083.3964,Rural
2,0,2,NE,0,0,0,68378,3,4,1,72,35,-95.997128,-10686338.1904,Rural
1,0,0,NE,1,0,0,68938,4,9,5,88,34,-98.052788,-10915187.2559,Rural
2,2,2,NE,0,1,1,68059,3,15,12,53,42,-96.126483,-10700742.3238,Rural
0,0,0,NM,0,0,0,87013,0,0,0,53,7,-107.488632,-11965574.707,Rural
2,0,2,NY,0,0,0,12974,0,0,0,223,43,-73.47789,-8179522.9996,Rural
1,0,1,NY,0,0,0,13033,2,6,4,164,69,-76.550751,-8521593.9886,Rural
3,0,0,NY,3,0,0,14840,3,7,4,124,24,-77.227478,-8596923.5293,Rural
0,0,0,NY,0,0,0,13655,2,3,1,288,59,-74.669161,-8312136.1479,Rural
2,4,1,NY,1,1,3,12919,3,9,6,168,0,-73.415351,-8172551.9426,Rural
13,0,5,NY,8,0,0,14433,6,12,6,104,0,-76.865448,-8556625.9279,Rural
1,4,0,NY,1,3,1,13478,3,4,1,214,0,-75.567808,-8412170.1361,Rural
0,1,0,OH,0,0,1,43554,11,18,7,235,0,-84.548546,-9411898.522,Rural
8,5,3,OH,5,0,5,45121,5,6,1,252,0,-83.901196,-9339837.089,Rural
1,0,0,OH,1,0,0,43102,2,3,1,153,0,-82.740364,-9210607.5531,Rural
4,2,2,OH,2,2,0,45858,26,53,27,237,49,-83.793107,-9327804.2021,Rural
0,3,0,OH,0,1,2,45502,5,5,0,93,0,-83.680246,-9315234.5575,Rural
4,0,1,OH,3,0,0,44403,2,6,4,130,0,-80.56155,-8968067.7666,Rural
3,1,2,OR,1,0,1,97707,7,12,5,190,42,-121.433664,-13517925.8214,Rural
0,0,0,OR,0,0,0,97813,13,18,5,99,43,-118.484651,-13189654.264,Rural
3,0,2,PA,1,0,0,16678,1,2,1,136,0,-78.238425,-8709459.2181,Rural
0,0,0,PA,0,0,0,17846,3,4,1,135,51,-76.527692,-8519025.7044,Rural
6,0,0,PA,6,0,0,16657,0,5,5,20,0,-78.121346,-8696420.7597,Rural
13,15,7,PA,6,9,6,18951,23,39,16,179,83,-75.440959,-8398051.3677,Rural
0,0,0,PA,0,0,0,15312,0,0,0,97,46,-80.4185,-8952148.4815,Rural
6,8,2,PA,4,3,5,18627,4,10,6,206,0,-76.023943,-8462944.7061,Rural
7,3,4,RI,3,3,0,2830,10,25,15,158,0,-71.622293,-7972959.5744,Rural
57,2,29,SC,28,1,1,29054,45,96,51,349,0,-81.39004,-9060294.9863,Rural
0,0,0,SC,0,0,0,29369,0,0,0,0,0,-81.997754,-9127940.0578,Rural
7,0,2,SD,5,0,0,57730,8,16,8,93,0,-103.581286,-11530617.4413,Rural
0,0,0,SD,0,0,0,57454,1,1,0,36,14,-97.833005,-10890720.6125,Rural
3,0,2,SD,1,0,0,57071,4,7,3,23,0,-96.920134,-10789096.7341,Rural
2,0,0,SD,2,0,0,57030,4,8,4,20,0,-96.503909,-10742765.7033,Rural
21,9,10,TX,11,7,2,78654,251,577,326,667,0,-98.252192,-10937384.5689,Rural
5,0,2,TX,3,0,0,79241,93,162,69,172,31,-101.451145,-11293485.9991,Rural
1,0,1,TX,0,0,0,78151,52,118,66,118,21,-97.711681,-10877206.5459,Rural
4,0,0,TX,4,0,0,76230,12,20,8,92,16,-97.903357,-10898554.5586,Rural
8,0,3,TX,5,0,0,79052,22,53,31,68,0,-101.745848,-11326289.3744,Rural
0,0,0,TX,0,0,0,78342,125,245,120,149,28,-98.080712,-10918292.2979,Rural
2,1,0,TX,2,0,1,78615,29,47,18,68,12,-97.390717,-10841481.5774,Rural
69,4,31,TX,38,2,2,77836,103,213,110,371,123,-96.67556,-10761864.7688,Rural
1,0,0,TX,1,0,0,75424,33,58,25,125,0,-96.403772,-10731609.2944,Rural
4,0,1,TX,3,0,0,76044,45,89,44,175,0,-97.544607,-10858617.0606,Rural
57,7,31,TX,26,4,3,77318,129,280,151,463,0,-95.497648,-10630746.3891,Rural
108,12,54,TX,54,8,4,77484,233,480,247,568,0,-95.925754,-10678409.1227,Rural
104,5,41,TX,63,3,2,75644,107,231,124,807,179,-94.946804,-10569426.9064,Rural
21,2,9,TX,12,0,2,75760,18,34,16,164,0,-94.8367,-10557163.0098,Rural
1,1,1,TX,0,0,1,78850,80,174,94,153,31,-99.272069,-11050919.0349,Rural
6,0,2,TX,4,0,0,75481,14,28,14,137,18,-95.393381,-10619134.7552,Rural
3,0,1,TX,2,0,0,76366,14,27,13,42,0,-98.688906,-10985998.5189,Rural
4,2,4,UT,0,1,1,84029,24,55,31,167,95,-112.44849,-12517708.2385,Rural
26,1,17,VA,9,1,0,22727,7,15,8,165,128,-78.252028,-8710974.3699,Rural
28,2,13,VA,15,1,1,24301,7,14,7,330,62,-80.741871,-8988145.226,Rural
221,5,105,VA,116,3,2,24112,48,97,49,721,0,-79.779825,-8881045.0592,Rural
4,0,2,VA,2,0,0,24421,3,7,4,168,62,-79.160262,-8812081.8737,Rural
31,8,17,VA,14,5,3,22603,57,102,45,338,0,-78.182641,-8703249.1342,Rural
0,0,0,WY,0,0,0,82420,21,47,26,111,49,-108.468719,-12074679.2226,Rural
0,0,0,WY,0,0,0,82510,0,0,0,24,0,-108.490183,-12077064.0579,Rural
0,0,0,ID,0,0,0,83539,6,15,9,97,0,-115.977951,-12910601.3583,Rural
24,49,9,TX,15,21,28,75069,17,32,15,9,87,-96.624873,-10756232.2091,Rural
2,0,1,NE,1,0,0,68967,10,20,10,101,22,-99.641511,-11092038.759,Rural
0,0,0,TX,0,0,0,78586,0,13,13,14,0,-97.727853,-10879007.0625,Rural
0,1,0,NE,0,0,1,68601,9,29,20,40,0,-97.374634,-10839681.0608,Rural
659,6,322,GA,337,3,3,30228,28,78,50,725,0,-84.360136,-9390924.2015,Rural
104,406,57,VA,47,192,214,20105,29,58,29,48,160,-77.544151,-8632172.8895,Rural
112,79,54,VA,58,41,38,20181,71,147,76,95,153,-77.580786,-8636256.3254,Rural
0,0,0,SD,0,0,0,57658,0,0,0,48,0,-100.52253,-11190115.9593,Rural
235,70,120,TX,115,40,30,78253,615,1339,724,674,0,-98.780014,-10996142.5619,Rural
1,2,1,NY,0,1,1,13669,1,1,0,0,0,-75.436221,-8397521.4043,Rural
4,0,1,CA,3,0,0,93274,39,111,72,110,0,-119.310681,-13281596.1188,Rural
67,44,29,TX,38,24,20,77423,77,182,105,89,134,-95.88395,-10673748.1626,Rural
31,170,10,OR,21,79,91,97007,93,191,98,306,0,-122.855278,-13676187.8392,Rural
0,0,0,NC,0,0,0,28694,4,6,2,22,0,-81.476089,-9069868.2995,Rural
0,0,0,ME,0,0,0,4974,0,0,0,4,0,-68.925269,-7672728.5161,Rural
13,3,6,MI,7,1,2,48192,49,92,43,300,85,-83.154083,-9256660.0134,Suburb
180,78,77,MI,103,34,44,49508,51,92,41,412,118,-85.604036,-9529394.1247,Suburb
1,4,1,MI,0,4,0,49417,4,8,4,40,56,-86.219185,-9597874.9077,Suburb
178,8,82,MI,96,5,3,49009,24,44,20,333,73,-85.680776,-9537941.4831,Suburb
4,0,3,CA,1,0,0,90255,452,900,448,878,159,-118.228015,-13161083.8014,Suburb
75,1836,31,CA,44,980,856,91765,258,497,239,537,0,-117.838942,-13117769.4854,Suburb
13,28,8,CA,5,15,13,95380,261,549,288,621,104,-120.852338,-13453215.9319,Suburb
2,0,1,CA,1,0,0,95316,56,115,59,115,2,-120.803863,-13447807.5875,Suburb
88,5,43,AL,45,3,2,36277,13,19,6,389,85,-85.814565,-9552834.8134,Suburb
53,5,26,CA,27,4,1,92335,546,1164,618,1162,0,-117.430192,-13072267.3717,Suburb
2,4,1,NC,1,0,4,28721,10,12,2,79,0,-82.927756,-9231459.5745,Suburb
80,449,41,CA,39,238,211,94552,159,354,195,333,0,-122.050983,-13586644.4085,Suburb
43,53,19,CA,24,26,27,94513,128,289,161,248,126,-121.707894,-13548459.8663,Suburb
610,141,292,NC,318,82,59,28105,251,507,256,787,0,-80.691593,-8982546.6384,Suburb
254,61,127,NC,127,33,28,28304,96,198,102,430,0,-78.988951,-8793003.1914,Suburb
38,34,22,NC,16,15,19,28613,50,102,52,223,64,-81.200144,-9039144.0113,Suburb
6,4,1,CO,5,2,2,80229,125,274,149,255,43,-104.957806,-11683851.6012,Suburb
122,4,70,NC,52,2,2,28086,16,30,14,350,0,-81.374164,-9058521.6473,Suburb
0,1,0,CO,0,1,0,80113,8,22,14,33,0,-104.982014,-11686542.1846,Suburb
106,47,55,AL,51,30,17,35758,13,30,17,115,96,-86.750464,-9657020.1815,Suburb
119,19,59,FL,60,11,8,32547,81,153,72,443,109,-86.631986,-9643818.6575,Suburb
223,48,112,NJ,111,23,25,7666,97,191,94,255,0,-74.010947,-8238858.5168,Suburb
8,0,2,NJ,6,0,0,7090,9,14,5,11,0,-74.327838,-8274135.0546,Suburb
80,4,41,FL,39,3,1,32043,29,59,30,356,118,-81.807396,-9106748.3163,Suburb
6,18,1,NY,5,14,4,12054,4,7,3,33,64,-73.825687,-8218237.5051,Suburb
79,16,33,AL,46,11,5,36619,21,44,23,231,69,-88.236128,-9822395.9387,Suburb
1,4,1,NY,0,2,2,14047,10,16,6,72,64,-78.972955,-8791223.058,Suburb
8,7,5,NY,3,3,4,14845,6,12,6,186,78,-76.824131,-8552019.323,Suburb
356,13,177,FL,179,6,7,33035,699,1455,756,1607,240,-80.435232,-8954003.3534,Suburb
1,25,1,NY,0,14,11,11530,6,11,5,3,0,-73.674037,-8201353.4149,Suburb
21,87,10,NY,11,39,48,11710,64,142,78,172,0,-73.5428,-8186745.4495,Suburb
77,51,42,NY,35,25,26,11581,59,124,65,115,46,-73.69144,-8203289.8196,Suburb
